Student_ID,Student_Name,Lecturer_ID,Lecturer_Name,Module,Date,Day,Time_Slot,Attendance,Check_In_Time,Faculty,Year
R242339Z,Tariro Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:14,Data Science,2026
R247616Z,Rudo Sibanda,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,14:26,Data Science,2026
R246226Z,Simba Sibanda,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Absent,,Data Science,2026
R243761Z,Rudo Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:16,Data Science,2026
R242120Z,Nyasha Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Late,10:06,Data Science,2026
R241563Z,Tanaka Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,9:43,Data Science,2026
R242315Z,Simba Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,10:33,Data Science,2026
R241895Z,Nyasha Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Late,12:24,Data Science,2026
R249193Z,Kuda Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:42,Data Science,2026
R243717Z,Rudo Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,11:03,Data Science,2026
R246751Z,,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:46,Data Science,2026
R245598Z,Kuda Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:17,Data Science,2026
R241367Z,Tanaka Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Late,8:35,Data Science,2026
R248700Z,Tendai Sibanda,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:44,Data Science,2026
R243709Z,Tanaka Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,14:26,Data Science,2026
R241789Z,Blessing Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,9:55,Data Science,2026
R249534Z,Nyasha Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:25,Data Science,2026
R243941Z,Simba Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,,Data Science,2026
R244917Z,Tariro Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:03,Data Science,2026
R242293Z,Rudo Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:42,Data Science,2026
R246250Z,Tanaka Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,16:34,Data Science,2026
R241148Z,Kuda Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:45,Data Science,2026
R241278Z,Tanaka Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,14:17,Data Science,2026
R242956Z,Tariro Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,11:52,Data Science,2026
R245116Z,Nyasha Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:28,Data Science,2026
R243894Z,Tendai Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,9:44,Data Science,2026
R249284Z,Simba Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:45,Data Science,2026
R243481Z,Nyasha Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,9:38,Data Science,2026
R248844Z,Blessing Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:53,Data Science,2026
R247973Z,Rudo Sibanda,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,14:06,Data Science,2026
R244741Z,Tanaka Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,16:56,Data Science,2026
R245449Z,Nyasha Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:47,Data Science,2026
R247098Z,Tanaka Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Absent,,Data Science,2026
R242575Z,Tanaka Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,9:25,Data Science,2026
R243181Z,Nyasha Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,15:57,Data Science,2026
R244886Z,Nyasha Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:23,Data Science,2026
R248288Z,Blessing Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:48,Data Science,2026
R248914Z,Tariro Sibanda,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:30,Data Science,2026
R246402Z,Tanaka Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,14:54,Data Science,2026
R247621Z,Rudo Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Absent,,Data Science,2026
R247110Z,Rudo Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,10:52,Data Science,2026
R246137Z,Rudo Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,11:13,Data Science,2026
R246504Z,Tariro Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:33,Data Science,2026
R249708Z,Tanaka Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,10:36,Data Science,2026
R248629Z,Rudo Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:15,Data Science,2026
R241835Z,Rudo Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,14:57,Data Science,2026
R247862Z,Tendai Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:09,Data Science,2026
R249045Z,Simba Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,14:45,Data Science,2026
R246837Z,Blessing Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,10:10,Data Science,2026
R248347Z,Tariro Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,8:10,Data Science,2026
R244244Z,Tendai Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Late,12:37,Data Science,2026
R249155Z,Kuda Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,15:51,Data Science,2026
R244504Z,Tendai Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:08,Data Science,2026
R244041Z,Simba Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Late,8:05,Data Science,2026
R247160Z,Simba Sibanda,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,15:45,Data Science,2026
R245269Z,Blessing Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,12:57,Data Science,2026
R247880Z,Kuda Sibanda,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:44,Data Science,2026
R245877Z,Blessing Moyo,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,15:49,Data Science,2026
R249662Z,Tanaka Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,15:25,Data Science,2026
R249985Z,Nyasha Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Late,10:42,Data Science,2026
R247962Z,Simba Dube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,10:24,Data Science,2026
R245807Z,Blessing Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,16:45,Data Science,2026
R247389Z,Tendai Mpofu,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,11:57,Data Science,2026
R241935Z,,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,,Data Science,2026
R242935Z,Tendai Ncube,L247960Z,Tariro Ncube,Database Systems,2026-01-01,Thursday,08:00-11:00,Present,13:05,Data Science,2026
R242938Z,Tanaka Dube,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,16:00,Data Science,2026
R245096Z,Kuda Sibanda,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Late,11:36,Data Science,2026
R248215Z,Simba Mpofu,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,10:41,Data Science,2026
R249361Z,,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,8:20,Data Science,2026
R246668Z,Rudo Dube,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Late,12:42,Data Science,2026
R247711Z,Simba Sibanda,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,11:27,Data Science,2026
R242101Z,Tanaka Sibanda,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,14:07,Data Science,2026
R242095Z,Tanaka Dube,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Absent,,Data Science,2026
R248788Z,Blessing Dube,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,10:21,Data Science,2026
R242053Z,Rudo Ncube,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,11:56,Data Science,2026
R247611Z,Rudo Moyo,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Absent,,Data Science,2026
R245485Z,Blessing Moyo,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,15:05,Data Science,2026
R246332Z,Blessing Mpofu,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,13:41,Data Science,2026
R249757Z,Simba Dube,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,10:26,Data Science,2026
R241052Z,Tanaka Mpofu,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,9:53,Data Science,2026
R246062Z,Tanaka Ncube,L244449Z,Kuda Ncube,Research Methods,2026-01-01,Thursday,11:00-14:00,Present,9:25,Data Science,2026
